text,label
姚明和詹姆斯谁更强？,1
Celtics location?,0
Yao Ming几号球衣？,0
analyze 马刺 history,1
姚明体重？,0
Shaq position?,0
勇士在哪个城市？,0
Yao Ming and Kobe relationship?,1
teammates of 奥尼尔?,1
teammates of 杜兰特?,1
Yao Ming vs Shaq who taller?,1
哪些球员是奥尼尔的队友？,1
Jordan和邓肯什么关系？,1
Kobe height?,0
詹姆斯体重？,0
Shaq height?,0
centers over 7 feet in Yao Ming era?,1
得分最多的球员？,1
为什么科比叫黑曼巴？,1
姚明的队友都有谁？,1
奥尼尔几号球衣？,0
teammates of 杜兰特?,1
LeBron几号球衣？,0
哪些球员是奥尼尔的队友？,1
乔丹身高？,0
Yao Ming和詹姆斯谁更强？,1
Shaq and 邓肯 relationship?,1
LeBron height?,0
为什么Kobe被称为黑曼巴？,1
Yao Ming team?,0
探讨篮球运动的全球化,1
who better Duncan or 乔丹?,1
Rockets location?,0
科比和詹姆斯谁更强？,1
凯尔特人 location?,0
詹姆斯和谁一起打过球？,1
who better Kobe or Jordan?,1
邓肯 position?,0
湖人队在哪个城市？,0
分析中国球员在NBA的影响,1
科比身高？,0
科比在哪队？,0
Yao Ming team?,0
LeBron age?,0
teammates of Yao Ming?,1
analyze Spurs history,1
Yao Ming draft?,0
为什么Duncan被称为石佛？,1
姚明职业生涯发展轨迹,1
analyze Rockets history,1
analyze Warriors history,1
詹姆斯和韦德认识吗？,1
LeBron height?,0
Duncan still playing?,0
Shaq多少岁？,0
teammates of 姚明?,1
分析火箭的历史,1
分析湖人王朝历史,1
湖人阵容变化,1
teammates of Yao Ming?,1
詹姆斯在哪队？,0
奥尼尔身高？,0
科比和詹姆斯同队会如何？,1
Yao Ming from which country?,0
奥尼尔 and Duncan relationship?,1
discuss basketball globalization,1
姚明对中国篮球的影响？,1
Spurs在哪个城市？,0
Kobe draft pick?,0
马刺队在哪？,0
哪些球员是Yao Ming的队友？,1
奥尼尔多少岁？,0
哪些球员是Yao Ming的队友？,1
姚明和邓肯谁更强？,1
凯尔特人在哪个城市？,0
哪些球员是杜兰特的队友？,1
Yao Ming which team?,0
teammates of 詹姆斯?,1
湖人 location?,0
詹姆斯在哪队？,0
邓肯和LeBron什么关系？,1
詹姆斯几个总冠军？,0
why Kobe called Black Mamba?,1
如果姚明没受伤会怎样？,1
Curry age?,0
analyze Celtics history,1
库里几号球衣？,0
姚明选秀顺位？,0
who better 邓肯 or Jordan?,1
LeBron position?,0
乔丹和Duncan谁更强？,1
Duncan age?,0
科比身高？,0
凯尔特人 location?,0
Kobe多少岁？,0
邓肯身高？,0
Jordan and 科比 relationship?,1
LeBron几号球衣？,0
哪些球员是邓肯的队友？,1
teammates of Kobe?,1
邓肯和帕克是队友吗？,1
库里几号球衣？,0
为什么Shaq被称为黑曼巴？,1
teammates of Jordan?,1
哪些球员是Curry的队友？,1
最年轻的MVP？,1
Duncan age?,0
奥尼尔在哪队？,0
who better 姚明 or 乔丹?,1
凯尔特人 location?,0
LeBron和Yao Ming什么关系？,1
乔丹几号球衣？,0
Shaq and 杜兰特 relationship?,1
tallest NBA player ever?,1
科比几号秀？,0
杜兰特 position?,0
Shaq几号球衣？,0
LeBron age?,0
詹姆斯 and 奥尼尔 relationship?,1
Shaq age?,0
Duncan age?,0
库里 age?,0
詹姆斯在哪队？,0
杜兰特 team?,0
Shaq team?,0
奥尼尔 and Duncan relationship?,1
Curry在哪队？,0
teammates of 科比?,1
分析Celtics的历史,1
既是湖人球员又拿过冠军的有谁？,1
who better 科比 or 邓肯?,1
LeBron team?,0
解释什么是三角进攻？,1
Shaq和Duncan什么关系？,1
NBA历史最高球员是谁？,1
Curry和科比什么关系？,1
Yao Ming career timeline,1
凯尔特人在哪个城市？,0
姚明多高？,0
邓肯什么位置？,0
LeBron and Wade teammates?,1
通过什么路径连接姚明和科比？,1
科比几号球衣？,0
邓肯在哪队？,0
Duncan age?,0
Rockets location?,0
LeBron from where?,0
科比在哪队？,0
为什么奥尼尔被称为大鲨鱼？,1
科比打什么位置？,0
哪些球员是乔丹的队友？,1
teammates of Kobe?,1
Shaq height?,0
乔丹 age?,0
邓肯多少岁？,0
詹姆斯国籍？,0
邓肯多少岁？,0
乔丹什么位置？,0
analyze 凯尔特人 history,1
乔丹 position?,0
库里在哪队？,0
Yao Ming how old?,0
邓肯身高？,0
科比几个冠军？,0
科比和乔丹什么关系？,1
科比几岁？,0
分析Spurs的历史,1
LeBron几号球衣？,0
Lakers roster changes,1
Yao Ming impact on basketball?,1
姚明身高？,0
哪些球员是詹姆斯的队友？,1
科比哪年出生？,0
分析科比和乔丹的区别,1
Lakers location?,0
哪些球员是乔丹的队友？,1
Jordan和库里谁更强？,1
姚明什么位置？,0
LeBron team?,0
Shaq age?,0
Curry身高？,0
杜兰特和Duncan什么关系？,1
假设乔丹在现代会怎样？,1
Duncan身高？,0
Lakers city?,0
科比从新秀到退役历程,1
Curry身高？,0
Shaq多少岁？,0
姚明和Curry什么关系？,1
邓肯 age?,0
科比多重？,0
Shaq在哪队？,0
湖人队总共多少球员？,1
LeBron age?,0
analyze Warriors history,1
compare Duncan and Garnett,1
most championships team?,1
马刺文化是什么？,1
Curry position?,0
邓肯的年龄？,0
Kobe age?,0
teammates of 库里?,1
分析勇士的历史,1
詹姆斯今年多大？,0
科比有哪些队友？,1
